iter	Passed	Remaining
400	25035	37396
401	25111	37354
402	25193	37321
403	25271	37281
404	25361	37259
405	25438	37217
406	25512	37171
407	25588	37128
408	25668	37089
409	25740	37041
410	25826	37012
411	25908	36975
412	25987	36936
413	26062	36890
414	26143	36853
415	26222	36811
416	26297	36766
417	26373	36720
418	26456	36685
419	26544	36657
420	26616	36605
421	26697	36566
422	26769	36515
423	26841	36464
424	26918	36419
425	27011	36395
426	27084	36344
427	27157	36294
428	27230	36244
429	27320	36215
430	27395	36166
431	27472	36121
432	27549	36075
433	27624	36026
434	27702	35981
435	27782	35938
436	27852	35883
437	27929	35836
438	28008	35792
439	28082	35741
440	28152	35685
441	28227	35635
442	28303	35586
443	28377	35535
444	28462	35498
445	28539	35450
446	28609	35393
447	28681	35339
448	28756	35288
449	28836	35244
450	28912	35195
451	28988	35145
452	29072	35104
453	29156	35064
454	29230	35012
455	29303	34958
456	29374	34902
457	29446	34847
458	29516	34789
459	29602	34750
460	29690	34714
461	29804	34707
462	29898	34677
463	29975	34626
464	30048	34572
465	30125	34521
466	30216	34486
467	30295	34438
468	30369	34384
469	30443	34330
470	30514	34272
471	30592	34221
472	30671	34173
473	30754	34128
474	30831	34076
475	30920	34038
476	30998	33987
477	31086	33947
478	31158	33890
479	31237	33840
480	31310	33784
481	31382	33726
482	31451	33665
483	31520	33604
484	31590	33545
485	31667	33492
486	31746	33441
487	31815	33379
488	31890	33325
489	31962	33266
490	32032	33206
491	32110	33154
492	32185	33099
493	32262	33046
