iter	Logloss
0	0.6732404336
1	0.6578254818
2	0.6420261818
3	0.6287127141
4	0.6159942471
5	0.6042562892
6	0.5952487534
7	0.585915541
8	0.5790770933
9	0.572474129
10	0.5668503964
11	0.5606281946
12	0.5556218007
13	0.5515735042
14	0.5472232611
15	0.5429723142
16	0.5395395261
17	0.5363617453
18	0.5342233033
19	0.5315298469
20	0.5290946879
21	0.5267250604
22	0.5244824641
23	0.5227876024
24	0.5211851528
25	0.519664938
26	0.518196197
27	0.5170125181
28	0.5156088564
29	0.5143717562
30	0.513277712
31	0.5122994565
32	0.5110769882
33	0.5101963417
34	0.5093260716
35	0.5085780937
36	0.5076167385
37	0.5069994295
38	0.5064133268
39	0.5057995205
40	0.5050387234
41	0.5044330446
42	0.5039358361
43	0.5032411929
44	0.5027106433
45	0.5020883137
46	0.501508637
47	0.5011589475
48	0.5006859427
49	0.5000641819
50	0.4998799551
51	0.4994556994
52	0.4989690418
53	0.4983562736
54	0.4978511255
55	0.4974457413
56	0.4970533833
57	0.4966175165
58	0.4961769541
59	0.4958659221
60	0.4956053661
61	0.4953641762
62	0.4949068081
63	0.494627452
64	0.4944954307
65	0.4941115923
66	0.4938418516
67	0.4936465372
68	0.493308981
69	0.4930915413
70	0.4928478388
71	0.4926789832
72	0.4924498823
73	0.492250997
74	0.4919184401
75	0.4916426317
76	0.4913743054
77	0.4910687287
78	0.4908496683
79	0.4906515716
80	0.4904314009
81	0.4901995892
82	0.4900781109
83	0.4897717514
84	0.4896125677
85	0.4894685199
86	0.4892520141
87	0.4890690191
88	0.4890575802
89	0.4888460708
90	0.4887717261
91	0.4885025131
92	0.4883267772
93	0.4881800557
94	0.4880076085
95	0.4878864658
96	0.4876786719
97	0.4874796322
98	0.4873259676
99	0.487244334
100	0.4869921652
101	0.4867473202
102	0.4865957317
103	0.4864695595
104	0.4863169305
105	0.48614332
106	0.4861416061
107	0.4860319673
108	0.4857175064
109	0.4855025206
110	0.4855022981
111	0.4852650577
112	0.48503395
113	0.4849221944
114	0.4847344935
115	0.4844328467
116	0.4842978777
117	0.4842263254
118	0.4840425514
119	0.4838988871
120	0.4837937834
121	0.4836213501
122	0.4835110036
123	0.483374468
124	0.4832274444
125	0.4831273567
126	0.48301435
127	0.4828276626
128	0.4826546637
129	0.4825718006
130	0.4825107365
131	0.4823889102
132	0.4821641014
133	0.4820739773
134	0.4819640285
135	0.4817997508
136	0.4815996365
137	0.4814371616
138	0.481319182
139	0.4811393669
140	0.4809945564
141	0.4809569598
142	0.4808587815
143	0.4807390091
144	0.4806851438
145	0.4806102437
146	0.4804945268
147	0.4803831961
148	0.480244695
149	0.4800621761
150	0.4798856356
151	0.4797325297
152	0.4796835961
153	0.4795915904
154	0.4794578968
155	0.4792677768
156	0.4791563943
157	0.4789827278
158	0.4788893077
159	0.4787571173
160	0.47867971
161	0.4785511661
162	0.4784064268
163	0.4783516869
164	0.4782172918
165	0.478017779
166	0.4779295116
167	0.4778237955
168	0.4776196423
169	0.4774596918
170	0.477348261
171	0.4770901178
172	0.4769412261
173	0.4767115029
174	0.4766018684
175	0.4764965212
176	0.4763399386
177	0.4761714592
178	0.4760209838
179	0.475840254
180	0.4757552891
181	0.4756080041
182	0.4754357599
183	0.475410972
184	0.4751928061
185	0.475072793
186	0.4749725801
187	0.4747988074
188	0.4747401506
189	0.4746870414
190	0.4744698225
191	0.4744067038
192	0.4742273803
193	0.4740715656
194	0.4739691085
195	0.4738250343
196	0.4737771591
197	0.4736112136
198	0.4735161573
199	0.4733422799
200	0.4732379123
201	0.4730535719
202	0.472982543
203	0.4729058008
204	0.4726649038
205	0.4725072618
206	0.4724045562
207	0.47235034
208	0.4720763001
209	0.4720181887
210	0.47188784
211	0.4718088778
212	0.471595966
213	0.4715077209
214	0.4715057981
215	0.4712675187
216	0.4711278216
217	0.471016469
218	0.4708146496
219	0.4706600464
220	0.4704362221
221	0.470250654
222	0.4700929942
223	0.4699632054
224	0.4698251365
225	0.4697388497
226	0.4696948479
227	0.4695734308
228	0.4695316344
229	0.4695065165
230	0.4693927668
231	0.4692670553
232	0.4691370148
233	0.4690320007
234	0.4688779672
235	0.4687669868
236	0.4685322057
