Model,Accuracy,Precision,Recall,AUC,AP (Avg Precision)
ResNet50_ImageNet,0.691,0.6086,0.6375,0.7486,0.6402
Swin-T_ImageNet,0.715,0.6696,0.5675,0.7378,0.6273
Swin-T_DAPT,0.658,0.6115,0.3975,0.675,0.5591
Swin-T_DAPT_LLRD,0.65,0.605,0.36,0.6718,0.5522
Swin-T_DAPT_LoRA,0.59,0.4038,0.0525,0.5516,0.4362
ViT_ImageNet,0.698,0.6512,0.5275,0.7252,0.6179
ViT_DAPT,0.703,0.6604,0.53,0.7291,0.6434
ViT_DAPT_LLRD,0.707,0.6499,0.58,0.7404,0.6346
ViT_DAPT_LoRA,0.705,0.6606,0.54,0.7422,0.639
